swda_filename,ptb_basename,conversation_no,transcript_index,act_tag,caller,turn_index,subutterance_index,text,pos,trees
K/KC/KCN.xml,KCNRE01K,027602,0,,A,1,1,Doing a fine job!,,
K/KC/KCN.xml,KCNRE01K,027602,1,,B,2,1,Are you?,,
K/KC/KCN.xml,KCNRE01K,027602,2,,B,2,2,What in?,,
K/KC/KCN.xml,KCNRE01K,027602,3,,A,3,1,Polish!,,
K/KC/KCN.xml,KCNRE01K,027602,4,,A,3,2,Polish!,,
K/KC/KCN.xml,KCNRE01K,027602,5,,A,3,3,Polish!,,
K/KC/KCN.xml,KCNRE01K,027602,6,,B,4,1,Oh!,,
K/KC/KCN.xml,KCNRE01K,027602,7,,A,5,1,"Must make a Friday, a Polish day.",,
K/KC/KCN.xml,KCNRE01K,027602,8,,B,6,1,A what?,,
K/KC/KCN.xml,KCNRE01K,027602,9,,A,7,1,A polish day.--,,
K/KC/KCN.xml,KCNRE01K,027602,10,,A,7,2,--<laugh> ,,
K/KC/KCN.xml,KCNRE01K,027602,11,,B,8,1,Right.,,
K/KC/KCN.xml,KCNRE01K,027602,12,,A,9,1,Even just to  --,,
K/KC/KCN.xml,KCNRE01K,027602,13,,A,9,2,--wipe the polish round ,,
K/KC/KCN.xml,KCNRE01K,027602,14,,B,10,1,"No, it's (()) , yes.",,
K/KC/KCN.xml,KCNRE01K,027602,15,,A,11,1,"And then you, you ",,
K/KC/KCN.xml,KCNRE01K,027602,16,,B,12,1,You polish them.,,
K/KC/KCN.xml,KCNRE01K,027602,17,,B,12,2,--,,
K/KC/KCN.xml,KCNRE01K,027602,18,,B,12,3,--Well you're supposed ,,
K/KC/KCN.xml,KCNRE01K,027602,19,,A,13,1,You went on Monday  (()) ,,
K/KC/KCN.xml,KCNRE01K,027602,20,,B,14,1,you're supposed to give it a good bees waxing once a year!,,
K/KC/KCN.xml,KCNRE01K,027602,21,,B,14,2,--,,
